date,underlying_price,option_symbol,option_type,strike,expiry,bid,ask,mid
2025-07-17,625.469970703125,SPY250717C00435000,call,435.0,2025-07-17,190.14,191.73,190.935
2025-07-17,625.469970703125,SPY250717C00550000,call,550.0,2025-07-17,75.15,76.72,75.935
2025-07-17,625.469970703125,SPY250717C00555000,call,555.0,2025-07-17,70.13,71.76,70.945
2025-07-17,625.469970703125,SPY250717C00565000,call,565.0,2025-07-17,60.74,61.11,60.925
2025-07-17,625.469970703125,SPY250717C00570000,call,570.0,2025-07-17,55.74,56.25,55.995000000000005
2025-07-17,625.469970703125,SPY250717C00575000,call,575.0,2025-07-17,50.11,51.24,50.675
2025-07-17,625.469970703125,SPY250717C00580000,call,580.0,2025-07-17,46.09,46.75,46.42
2025-07-17,625.469970703125,SPY250717C00582000,call,582.0,2025-07-17,43.74,44.76,44.25
2025-07-17,625.469970703125,SPY250717C00589000,call,589.0,2025-07-17,37.05,37.74,37.394999999999996
2025-07-17,625.469970703125,SPY250717C00590000,call,590.0,2025-07-17,36.12,36.74,36.43
2025-07-17,625.469970703125,SPY250717C00592000,call,592.0,2025-07-17,34.08,34.78,34.43
2025-07-17,625.469970703125,SPY250717C00595000,call,595.0,2025-07-17,30.14,31.71,30.925
2025-07-17,625.469970703125,SPY250717C00597000,call,597.0,2025-07-17,29.06,29.22,29.14
2025-07-17,625.469970703125,SPY250717C00599000,call,599.0,2025-07-17,26.15,27.79,26.97
2025-07-17,625.469970703125,SPY250717C00600000,call,600.0,2025-07-17,25.15,26.12,25.634999999999998
2025-07-17,625.469970703125,SPY250717C00601000,call,601.0,2025-07-17,25.09,25.75,25.42
2025-07-17,625.469970703125,SPY250717C00603000,call,603.0,2025-07-17,22.9,23.25,23.075
2025-07-17,625.469970703125,SPY250717C00604000,call,604.0,2025-07-17,21.9,22.26,22.08
2025-07-17,625.469970703125,SPY250717C00605000,call,605.0,2025-07-17,20.95,21.26,21.105
2025-07-17,625.469970703125,SPY250717C00606000,call,606.0,2025-07-17,19.9,20.15,20.025
2025-07-17,625.469970703125,SPY250717C00607000,call,607.0,2025-07-17,18.9,19.13,19.015
2025-07-17,625.469970703125,SPY250717C00608000,call,608.0,2025-07-17,18.04,18.14,18.09
2025-07-17,625.469970703125,SPY250717C00609000,call,609.0,2025-07-17,17.0,17.26,17.130000000000003
2025-07-17,625.469970703125,SPY250717C00610000,call,610.0,2025-07-17,16.04,16.15,16.095
2025-07-17,625.469970703125,SPY250717C00611000,call,611.0,2025-07-17,15.0,15.26,15.129999999999999
2025-07-17,625.469970703125,SPY250717C00612000,call,612.0,2025-07-17,13.8,14.2,14.0
2025-07-17,625.469970703125,SPY250717C00613000,call,613.0,2025-07-17,12.99,13.16,13.075
2025-07-17,625.469970703125,SPY250717C00614000,call,614.0,2025-07-17,12.11,12.23,12.17
2025-07-17,625.469970703125,SPY250717C00615000,call,615.0,2025-07-17,11.07,11.16,11.115
2025-07-17,625.469970703125,SPY250717C00616000,call,616.0,2025-07-17,10.08,10.15,10.115
2025-07-17,625.469970703125,SPY250717C00617000,call,617.0,2025-07-17,9.08,9.16,9.120000000000001
2025-07-17,625.469970703125,SPY250717C00618000,call,618.0,2025-07-17,8.17,8.26,8.215
2025-07-17,625.469970703125,SPY250717C00619000,call,619.0,2025-07-17,7.2,7.28,7.24
2025-07-17,625.469970703125,SPY250717C00620000,call,620.0,2025-07-17,6.23,6.31,6.27
2025-07-17,625.469970703125,SPY250717C00621000,call,621.0,2025-07-17,5.24,5.3,5.27
2025-07-17,625.469970703125,SPY250717C00622000,call,622.0,2025-07-17,4.28,4.33,4.305
2025-07-17,625.469970703125,SPY250717C00623000,call,623.0,2025-07-17,3.33,3.37,3.35
2025-07-17,625.469970703125,SPY250717C00624000,call,624.0,2025-07-17,2.48,2.52,2.5
2025-07-17,625.469970703125,SPY250717C00625000,call,625.0,2025-07-17,1.71,1.73,1.72
2025-07-17,625.469970703125,SPY250717C00626000,call,626.0,2025-07-17,1.06,1.07,1.065
2025-07-17,625.469970703125,SPY250717C00627000,call,627.0,2025-07-17,0.56,0.58,0.5700000000000001
2025-07-17,625.469970703125,SPY250717C00628000,call,628.0,2025-07-17,0.26,0.27,0.265
2025-07-17,625.469970703125,SPY250717C00629000,call,629.0,2025-07-17,0.12,0.13,0.125
2025-07-17,625.469970703125,SPY250717C00630000,call,630.0,2025-07-17,0.05,0.06,0.055
2025-07-17,625.469970703125,SPY250717C00631000,call,631.0,2025-07-17,0.03,0.04,0.035
