datetime,open,high,low,close,volume
2025-07-18 13:30:00,14.05,14.05,13.82,13.82,84
2025-07-18 13:31:00,14.21,14.21,14.21,14.21,1
2025-07-18 13:32:00,14.16,14.16,14.15,14.15,71
2025-07-18 13:33:00,13.97,13.97,13.88,13.88,2
2025-07-18 13:35:00,13.95,14.0,13.95,14.0,2
2025-07-18 13:36:00,13.71,13.74,13.71,13.74,16
2025-07-18 13:37:00,13.8,13.8,13.8,13.8,5
2025-07-18 13:39:00,13.86,13.86,13.84,13.84,4
2025-07-18 13:40:00,13.8,13.8,13.8,13.8,1
2025-07-18 13:42:00,13.77,13.77,13.77,13.77,1
2025-07-18 13:43:00,13.82,13.82,13.72,13.72,10
2025-07-18 13:44:00,13.77,13.77,13.7,13.7,4
2025-07-18 13:45:00,13.71,13.71,13.71,13.71,1
2025-07-18 13:47:00,14.0,14.0,13.99,13.99,4
2025-07-18 13:48:00,14.02,14.11,14.02,14.11,22
2025-07-18 13:49:00,14.08,14.08,14.08,14.08,1
2025-07-18 13:51:00,13.95,14.13,13.91,14.13,15
2025-07-18 13:52:00,13.6,13.6,13.6,13.6,10
2025-07-18 13:55:00,13.69,13.72,13.69,13.72,3
2025-07-18 13:56:00,13.7,13.7,13.7,13.7,1
2025-07-18 13:57:00,13.75,13.75,13.75,13.75,1
2025-07-18 14:00:00,13.96,13.96,13.96,13.96,3
2025-07-18 14:02:00,13.95,13.95,13.94,13.94,3
2025-07-18 14:03:00,13.73,13.73,13.73,13.73,1
2025-07-18 14:04:00,13.61,13.61,13.47,13.47,3
2025-07-18 14:07:00,13.47,13.47,13.47,13.47,2
2025-07-18 14:11:00,13.24,13.24,13.24,13.24,1
2025-07-18 14:12:00,13.37,13.37,13.37,13.37,1
2025-07-18 14:14:00,13.12,13.12,13.05,13.05,34
2025-07-18 14:15:00,13.0,13.0,13.0,13.0,1
2025-07-18 14:19:00,12.93,12.93,12.93,12.93,1
2025-07-18 14:20:00,13.0,13.0,12.98,12.98,11
2025-07-18 14:21:00,13.1,13.1,13.1,13.1,1
2025-07-18 14:22:00,12.82,12.82,12.82,12.82,5
2025-07-18 14:23:00,12.8,12.8,12.8,12.8,10
2025-07-18 14:24:00,12.91,12.91,12.91,12.91,1
2025-07-18 14:26:00,12.31,12.31,12.31,12.31,1
2025-07-18 14:32:00,12.67,12.67,12.67,12.67,2
2025-07-18 14:35:00,12.75,12.75,12.75,12.75,1
2025-07-18 14:36:00,12.78,12.78,12.78,12.78,4
2025-07-18 14:37:00,12.68,12.68,12.54,12.55,22
2025-07-18 14:41:00,12.45,12.45,12.4,12.4,8
2025-07-18 14:42:00,12.3,12.3,12.29,12.29,3
2025-07-18 14:43:00,12.38,12.38,12.38,12.38,2
2025-07-18 14:47:00,12.32,12.44,12.32,12.44,16
2025-07-18 14:52:00,12.62,12.62,12.62,12.62,1
2025-07-18 14:53:00,12.63,12.63,12.63,12.63,1
2025-07-18 14:56:00,12.65,12.65,12.65,12.65,1
2025-07-18 14:58:00,12.53,12.53,12.53,12.53,1
2025-07-18 14:59:00,12.3,12.31,12.3,12.31,6
2025-07-18 15:07:00,12.43,12.43,12.43,12.43,2
2025-07-18 15:11:00,12.47,12.47,12.47,12.47,44
2025-07-18 15:20:00,12.46,12.46,12.46,12.46,2
2025-07-18 15:21:00,12.46,12.46,12.37,12.37,22
2025-07-18 15:23:00,12.38,12.38,12.38,12.38,20
2025-07-18 15:27:00,12.65,12.65,12.6,12.6,7
2025-07-18 15:28:00,12.6,12.6,12.6,12.6,7
2025-07-18 15:30:00,12.77,12.77,12.77,12.77,20
2025-07-18 15:32:00,12.93,12.93,12.93,12.93,1
2025-07-18 15:33:00,13.0,13.0,13.0,13.0,1
2025-07-18 15:34:00,12.86,12.86,12.86,12.86,5
2025-07-18 15:37:00,12.8,12.87,12.8,12.87,6
2025-07-18 15:39:00,12.76,12.83,12.75,12.83,3
2025-07-18 15:41:00,12.75,12.75,12.75,12.75,1
2025-07-18 15:44:00,12.87,12.87,12.87,12.87,2
2025-07-18 15:48:00,12.96,12.96,12.96,12.96,2
2025-07-18 15:51:00,13.06,13.07,13.06,13.07,5
2025-07-18 15:54:00,13.14,13.14,13.14,13.14,2
2025-07-18 16:02:00,13.06,13.06,13.06,13.06,6
2025-07-18 16:03:00,12.99,13.0,12.99,13.0,11
2025-07-18 16:04:00,12.9,12.9,12.9,12.9,2
2025-07-18 16:08:00,12.72,12.72,12.7,12.7,53
2025-07-18 16:11:00,12.71,12.71,12.65,12.65,2
2025-07-18 16:12:00,12.67,12.67,12.67,12.67,1
2025-07-18 16:15:00,12.65,12.65,12.65,12.65,1
2025-07-18 16:20:00,12.63,12.63,12.63,12.63,13
2025-07-18 16:21:00,12.5,12.5,12.4,12.4,2
2025-07-18 16:22:00,12.26,12.26,12.26,12.26,2
2025-07-18 16:23:00,12.41,12.41,12.41,12.41,1
2025-07-18 16:26:00,12.13,12.13,11.7,11.7,7
2025-07-18 16:27:00,11.88,11.88,11.88,11.88,5
2025-07-18 16:28:00,11.86,11.86,11.86,11.86,3
2025-07-18 16:30:00,12.05,12.05,12.05,12.05,1
2025-07-18 16:33:00,11.96,11.96,11.96,11.96,1
2025-07-18 16:36:00,11.57,11.57,11.57,11.57,1
2025-07-18 16:41:00,12.11,12.17,12.11,12.17,102
2025-07-18 16:43:00,12.16,12.16,12.16,12.16,3
2025-07-18 16:54:00,12.05,12.13,12.05,12.13,2
2025-07-18 16:57:00,11.82,11.82,11.75,11.75,3
2025-07-18 17:00:00,11.86,11.86,11.86,11.86,4
2025-07-18 17:02:00,11.54,11.55,11.54,11.55,2
2025-07-18 17:07:00,11.91,11.91,11.91,11.91,5
2025-07-18 17:09:00,11.75,11.75,11.75,11.75,1
2025-07-18 17:11:00,11.63,11.63,11.63,11.63,2
2025-07-18 17:13:00,12.02,12.02,12.02,12.02,5
2025-07-18 17:15:00,12.09,12.09,12.09,12.09,2
2025-07-18 17:18:00,11.92,11.92,11.92,11.92,7
2025-07-18 17:20:00,11.81,11.96,11.57,11.75,32
2025-07-18 17:21:00,11.86,11.86,11.86,11.86,20
2025-07-18 17:26:00,11.99,11.99,11.99,11.99,1
2025-07-18 17:29:00,12.05,12.05,12.0,12.0,3
2025-07-18 17:34:00,12.31,12.31,12.29,12.29,7
2025-07-18 17:37:00,12.33,12.33,12.33,12.33,1
2025-07-18 17:43:00,12.46,12.46,12.45,12.45,2
2025-07-18 17:46:00,12.03,12.03,12.03,12.03,1
2025-07-18 17:55:00,12.04,12.05,12.03,12.05,1000
2025-07-18 18:01:00,12.2,12.22,12.2,12.22,52
2025-07-18 18:04:00,12.33,12.33,12.33,12.33,2
2025-07-18 18:13:00,12.05,12.05,12.05,12.05,10
2025-07-18 18:16:00,11.77,11.77,11.77,11.77,21
2025-07-18 18:17:00,11.96,11.96,11.96,11.96,1
2025-07-18 18:18:00,12.04,12.04,12.04,12.04,10
2025-07-18 18:19:00,12.06,12.06,12.06,12.06,2
2025-07-18 18:31:00,12.29,12.29,12.29,12.29,1
2025-07-18 18:38:00,12.21,12.21,12.21,12.21,2
2025-07-18 18:43:00,12.39,12.39,12.39,12.39,1
2025-07-18 18:45:00,12.35,12.35,12.35,12.35,8
2025-07-18 18:48:00,12.33,12.33,12.33,12.33,7
2025-07-18 18:57:00,12.15,12.19,12.15,12.18,102
2025-07-18 19:05:00,12.17,12.17,12.17,12.17,8
2025-07-18 19:06:00,12.15,12.15,12.15,12.15,1
2025-07-18 19:08:00,12.13,12.13,12.13,12.13,1
2025-07-18 19:11:00,12.07,12.09,12.07,12.09,18
2025-07-18 19:21:00,12.48,12.48,12.47,12.47,3
2025-07-18 19:23:00,12.58,12.58,12.58,12.58,10
2025-07-18 19:24:00,12.59,12.59,12.51,12.51,2
2025-07-18 19:25:00,12.46,12.46,12.33,12.33,5
2025-07-18 19:27:00,12.38,12.38,12.38,12.38,1
2025-07-18 19:28:00,12.41,12.41,12.41,12.41,10
2025-07-18 19:30:00,12.44,12.44,12.41,12.41,14
2025-07-18 19:31:00,12.35,12.35,12.26,12.26,6
2025-07-18 19:32:00,12.19,12.19,12.19,12.19,1
2025-07-18 19:35:00,12.19,12.19,12.19,12.19,1
