symbol,entry_time,exit_time,entry_side,exit_side,entry_price,exit_price,volume,pnl,exit_date
O:SPY240119C00480000,2024-01-05 14:30:00,2024-01-05 15:45:00,buy,sell,0.52,0.85,82,32.99999999999999,2024-01-05
O:SPY240119C00480000,2024-01-05 15:52:00,2024-01-05 16:33:00,buy,sell,0.85,0.73,11,-12.0,2024-01-05
O:SPY240119C00480000,2024-01-05 17:04:00,2024-01-05 17:11:00,sell,buy,0.64,0.53,21,10.999999999999998,2024-01-05
O:SPY240119C00480000,2024-01-05 19:11:00,2024-01-05 20:45:00,sell,buy,0.64,0.44,20,20.0,2024-01-05
O:SPY240126C00480000,2024-01-12 14:30:00,2024-01-12 16:18:00,buy,sell,3.12,2.57,66,-55.00000000000003,2024-01-12
O:SPY240126C00480000,2024-01-12 16:37:00,2024-01-12 17:18:00,buy,sell,2.22,2.35,12,12.999999999999991,2024-01-12
O:SPY240126C00480000,2024-01-12 17:25:00,2024-01-12 18:19:00,buy,sell,2.17,2.45,86,28.000000000000025,2024-01-12
O:SPY240126C00480000,2024-01-12 18:42:00,2024-01-12 20:07:00,sell,buy,2.56,2.31,9,25.0,2024-01-12
O:SPY240131C00480000,2024-01-17 14:30:00,2024-01-17 16:02:00,buy,sell,1.69,1.75,31,6.000000000000005,2024-01-17
O:SPY240131C00480000,2024-01-17 16:20:00,2024-01-17 20:51:00,sell,buy,1.74,1.56,100,17.999999999999993,2024-01-17
O:SPY240202C00480000,2024-01-19 14:30:00,2024-01-19 15:00:00,buy,sell,3.69,3.92,335,23.0,2024-01-19
O:SPY240202C00480000,2024-01-19 15:19:00,2024-01-19 15:22:00,sell,buy,3.88,3.71,13,16.999999999999993,2024-01-19
O:SPY240216C00480000,2024-02-02 14:30:00,2024-02-02 17:03:00,buy,sell,12.43,15.63,20,320.0000000000001,2024-02-02
O:SPY240216C00480000,2024-02-02 17:44:00,2024-02-02 19:54:00,buy,sell,14.83,17.35,6,252.00000000000014,2024-02-02
